identifier,latitude,longitude,resource,taille
538,-8,-69,RESOURCE_BANANAS,4.625387175
539,-8,-67,RESOURCE_BANANAS,5.20507308
547,-8,-47,RESOURCE_BANANAS,4.464810244
548,-8,-46,RESOURCE_BANANAS,4.49316825
597,-7,-72,RESOURCE_BANANAS,5.587695333
598,-7,-71,RESOURCE_BANANAS,4.811021678
599,-7,-70,RESOURCE_BANANAS,5.536875286
600,-7,-69,RESOURCE_BANANAS,5.022518225
601,-7,-61,RESOURCE_BANANAS,4.771807033
609,-7,-42,RESOURCE_BANANAS,6.146093027
652,-6,-70,RESOURCE_BANANAS,4.94807774
653,-6,-69,RESOURCE_BANANAS,5.435066575
654,-6,-68,RESOURCE_BANANAS,4.911618
656,-6,-62,RESOURCE_BANANAS,4.318013
664,-6,-46,RESOURCE_BANANAS,4.3662405
665,-6,-45,RESOURCE_BANANAS,4.588413675
668,-6,-42,RESOURCE_BANANAS,4.61668685
672,-6,-37,RESOURCE_BANANAS,6.441900594
714,-5,-70,RESOURCE_BANANAS,5.7819442
715,-5,-69,RESOURCE_BANANAS,5.10581665
716,-5,-68,RESOURCE_BANANAS,5.138602
717,-5,-67,RESOURCE_BANANAS,5.43873
733,-5,-44,RESOURCE_BANANAS,5.386727883
740,-5,-36,RESOURCE_BANANAS,6.371216924
741,-5,-35,RESOURCE_BANANAS,8.0220065
791,-4,-69,RESOURCE_BANANAS,5.429860178
792,-4,-68,RESOURCE_BANANAS,4.897367775
793,-4,-66,RESOURCE_BANANAS,4.703118025
794,-4,-65,RESOURCE_BANANAS,4.78152325
